Date,Death,simple,improved,improved_10%,improved_90%
2021/8/14,20,23.97536791,24.00334,18,30
2021/8/21,22,6.639849887,6.62443,3,10
2021/8/28,19,11.14250663,11.13934,7,16
2021/9/4,41,16.68485636,16.68095,12,22
2021/9/11,46,10.40517786,10.41089,6,15
2021/9/18,64,9.404376144,10.10903,6,14
2021/9/25,57,8.529554845,10.19655,6,14
2021/10/2,78,14.06088333,17.51041,12,23
2021/10/9,65,14.49039732,18.52663,13,24
2021/10/16,36,14.9120164,17.20163,12,23
2021/10/23,29,9.006084863,12.63471,8,17
2021/10/30,17,7.27320863,9.89515,6,14
2021/11/6,25,9.282540047,13.68132,9,19
2021/11/13,12,2.252686105,7.10795,4,11
2021/11/20,11,4.400377478,7.22733,4,11
2021/11/27,6,0,5.99905,3,9
2021/12/4,4,1.073530449,1.0459,0,2
2021/12/11,11,6.399220784,8.71593,5,13
2021/12/18,4,1.061676009,3.35423,1,6
2021/12/25,8,7.408094833,7.18822,4,11
2022/1/1,22,14.78404542,18.68789,13,24
2022/1/8,72,58.07568282,69.28257,59,80
2022/1/15,143,108.9833342,133.4559,119,148
2022/1/22,234,189.4531743,222.1247,203,241
2022/1/29,376,298.9654843,358.2539,334,383
2022/2/5,218,184.7887718,212.9463,194,232
2022/2/12,169,120.661686,161.0741,145,177
2022/2/19,146,110.5418408,139.6216,125,155
2022/2/26,60,50.0309591,58.93313,49,69
2022/3/5,53,44.61348835,50.16637,41,59
2022/3/12,48,42.03690299,47.30135,39,56
2022/3/19,44,31.06412825,40.44275,32,49
2022/3/26,36,32.19212277,35.4271,28,43
2022/4/2,71,55.74282638,67.19853,57,78
2022/4/9,72,56.68251041,66.10647,56,77
2022/4/16,83,62.81801923,78.99041,68,91
2022/4/23,78,55.67656813,68.73959,58,80
2022/4/30,81,68.90202048,77.61975,66,89
2022/5/7,101,81.48581773,96.00512,84,109
2022/5/14,88,74.82361362,86.09038,74,98
2022/5/21,85,74.56332964,84.60212,73,96
2022/5/28,97,86.50932539,96.87145,84,110
2022/6/4,83,66.10434548,91.85356,80,104
2022/6/11,78,69.00195367,78.84384,68,90
2022/6/18,75,74.57392694,74.09604,63,85
2022/6/25,103,93.05753408,105.6598,93,119
2022/7/2,112,97.98038781,121.5868,108,136
2022/7/9,92,81.06486366,94.30086,82,107
